id,name,position,team,rank
4984,Josh Allen,QB,BUF,1
7564,Ja'Marr Chase,WR,CIN,2
4866,Saquon Barkley,RB,PHI,3
9509,Bijan Robinson,RB,ATL,4
11564,Drake Maye,QB,NE,5
6770,Joe Burrow,QB,CIN,6
9221,Jahmyr Gibbs,RB,DET,7
11566,Jayden Daniels,QB,WAS,8
6794,Justin Jefferson,WR,MIN,9
6786,CeeDee Lamb,WR,DAL,10
9493,Puka Nacua,WR,LAR,11
9488,Jaxon Smith-Njigba,WR,SEA,12
11559,Michael Penix,QB,ATL,13
4034,Christian McCaffrey,RB,SF,14
4881,Lamar Jackson,QB,BAL,15
7547,Amon-Ra St. Brown,WR,DET,16
12527,Ashton Jeanty,RB,LV,17
6904,Jalen Hurts,QB,PHI,18
11632,Malik Nabers,WR,NYG,19
4046,Patrick Mahomes,QB,KC,20
5850,Josh Jacobs,RB,GB,21
7569,Nico Collins,WR,HOU,22
6813,Jonathan Taylor,RB,IND,23
9226,De'Von Achane,RB,MIA,24
11631,Brian Thomas,WR,JAX,25
11560,Caleb Williams,QB,CHI,26
8112,Drake London,WR,ATL,27
6797,Justin Herbert,QB,LAC,28
5859,A.J. Brown,WR,PHI,29
12508,Jaxson Dart,QB,NYG,30
7523,Trevor Lawrence,QB,JAX,31
11604,Brock Bowers,TE,LV,32
8150,Kyren Williams,RB,LAR,33
9224,Chase Brown,RB,CIN,34
11584,Bucky Irving,RB,TB,35
11635,Ladd McConkey,WR,LAC,36
8183,Brock Purdy,QB,SF,37
8138,James Cook,RB,BUF,38
11563,Bo Nix,QB,DEN,39
8137,George Pickens,WR,DAL,40
10232,Michael Wilson,WR,ARI,41
12507,Omarion Hampton,RB,LAC,42
8130,Trey McBride,TE,ARI,43
9510,Lew Nichols,RB,PIT,44
6801,Tee Higgins,WR,CIN,45
8144,Chris Olave,WR,NO,46
8155,Breece Hall,RB,NYJ,47
12526,Tetairoa McMillan,WR,CAR,48
3294,Dak Prescott,QB,DAL,49
11638,Ricky Pearsall,WR,SF,50
10229,Rashee Rice,WR,KC,51
5892,David Montgomery,RB,HOU,52
8146,Garrett Wilson,WR,NYJ,53
7002,Juwan Johnson,TE,NO,54
8228,Jaylen Warren,RB,PIT,55
11628,Marvin Harrison,WR,ARI,56
12514,Emeka Egbuka,WR,TB,57
8151,Kenneth Walker,RB,KC,58
6804,Jordan Love,QB,GB,59
9499,Bryce Ford-Wheaton,WR,NYG,60
12529,TreVeyon Henderson,RB,NE,61
12530,Travis Hunter,WR,JAX,62
8148,Jameson Williams,WR,DET,63
12492,Pat Bryant,WR,DEN,64
11586,Blake Corum,RB,LAR,65
4892,Baker Mayfield,QB,TB,66
8167,Christian Watson,WR,GB,67
9489,Justin Shorter,WR,LV,68
1373,Geno Smith,QB,NYJ,69
11620,Rome Odunze,WR,CHI,70
11624,Xavier Worthy,WR,KC,71
12545,Tyler Shough,QB,NO,72
7525,DeVonta Smith,WR,PHI,73
6819,Michael Pittman,WR,PIT,74
9758,C.J. Stroud,QB,HOU,75
12489,RJ Harvey,RB,DEN,76
4037,Chris Godwin,WR,TB,77
4943,Sam Darnold,QB,SEA,78
12534,Kyle Monangai,RB,CHI,79
9483,Zack Kuntz,TE,MIA,80
12519,Luther Burden,WR,CHI,81
3163,Jared Goff,QB,DET,82
5045,Courtland Sutton,WR,DEN,83
9997,Zay Flowers,WR,BAL,84
12517,Colston Loveland,TE,CHI,85
7526,Jaylen Waddle,WR,MIA,86
9480,Brenton Strange,TE,JAX,87
12493,Oronde Gadsden,TE,LAC,88
12518,Tyler Warren,TE,IND,89
12512,Quinshon Judkins,RB,CLE,90
11618,Jalen McMillan,WR,TB,91
8121,Romeo Doubs,WR,NE,92
12506,Harold Fannin,TE,CLE,93
7588,Javonte Williams,RB,DAL,94
9484,Tucker Kraft,TE,GB,95
12481,Cam Skattebo,RB,NYG,96
12524,Shedeur Sanders,QB,CLE,97
10859,Sam LaPorta,TE,DET,98
5846,DK Metcalf,WR,PIT,99
2133,Davante Adams,WR,LAR,100
5967,Tony Pollard,RB,TEN,101
6768,Tua Tagovailoa,QB,ATL,102
8921,Maurice Alexander,WR,CHI,103
5849,Kyler Murray,QB,MIN,104
8676,Rashid Shaheed,WR,SEA,105
12522,Cam Ward,QB,TEN,106
9753,Zach Charbonnet,RB,SEA,107
9756,Jordan Addison,WR,MIN,108
9228,Bryce Young,QB,CAR,109
